ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,24.1,24.1,17.7,17.7,12.2,12.2,12.2,12.2,13.8,13.8,13.8,13.8,,,,,0.29,0.29,0.19,0.19,0.10,0.10,0.10,0.10,0.13,0.13,0.13,0.13
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,19.4,20.1,21.8,21.8,21,21,21,21,21,21,21,21,,,,,0.22,0.23,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,24.3,16.1,16.1,16.1,16.1,16.1,16.1,16.1,12.7,12.7,12.7,12.7,,,,,0.30,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.11,0.11,0.11,0.11
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,24.3,24.04,12.2,12.2,12.2,12.2,12.2,14.5,14.5,14.5,14.5,14.5,,,,,0.30,0.29,0.10,0.10,0.10,0.10,0.10,0.14,0.14,0.14,0.14,0.14
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,24.3,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,,,,,0.30,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123,23,24.04,24.06,24.3,23.64,23.28,23.44,22.5,22.5,22.5,22.5,22.5,,,,,0.28,0.29,0.29,0.30,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,27.8,26.3,25.9,27.6,25.4,24.3,23.9,21.8,22.4,22.5,22.5,22.5,,,,,0.35,0.33,0.32,0.35,0.31,0.30,0.29,0.26,0.27,0.27,0.27,0.27
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126,28.3,28.3,28.3,28.3,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,,,,,0.36,0.36,0.36,0.36,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,25.1,25.1,21,21,21,21,21,20,20,20,20,20,,,,,0.31,0.31,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23
CPV,Cabo Verde,Africa,Northern Hemisphere,Medium,SSA,128,28,28,28,24.3,23.64,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.36,0.36,0.36,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,24.3,28.3,28.3,28.3,15.7,15.7,15.7,15.7,15.2,16.6,16.6,16.6,,,,,0.30,0.36,0.36,0.36,0.16,0.16,0.16,0.16,0.15,0.17,0.17,0.17
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,23.4,23.4,23.4,23.4,23.4,23.4,23.44,23.36,23.15,23.12,22.9,22.9,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27
IND,India,Asia,Northern Hemisphere,Medium,SA,132,19.2,19.2,19.2,19.2,19.2,19.4,19.4,19.4,19.4,19.4,19.4,19.4,,,,,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22
GHA,Ghana,Africa,Northern Hemisphere,Medium,SSA,133,27.2,22.4,22.4,22.4,25.3,25.3,25.3,24.1,24.1,24.1,24.1,24.1,,,,,0.34,0.27,0.27,0.27,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.29
FSM,Micronesia,Oceania,Northern Hemisphere,Medium,EAP,134,24.3,24.04,24.06,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,,,,,0.30,0.29,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,39.2,44.2,44.2,44.2,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,,,,,0.53,0.61,0.61,0.61,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136,24.3,24.04,24.06,24.3,23.64,23.28,23.44,23.36,19.4,19.4,19.4,19.4,,,,,0.30,0.29,0.29,0.30,0.29,0.28,0.28,0.28,0.22,0.22,0.22,0.22
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,40.7,40.8,41.7,37,36.3,35.7,37.5,36.5,36.2,34.9,34.9,34.9,,,,,0.56,0.56,0.57,0.50,0.49,0.48,0.51,0.49,0.49,0.47,0.47,0.47
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,24.3,24.04,24.06,24.3,14.9,14.9,14.9,14.9,14.9,26.2,26.2,26.2,,,,,0.30,0.29,0.29,0.30,0.15,0.15,0.15,0.15,0.15,0.33,0.33,0.33
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139,68.3,68.3,68.3,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,,,,,1.00,1.00,1.00,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,20.6,20.6,20.3,20.3,20.3,20.3,20.3,20.6,20.6,20.6,20.6,20.6,,,,,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,17.8,17.8,17.8,17.8,17.8,17.8,13.6,13.6,13.6,13.6,13.6,13.6,,,,,0.19,0.19,0.19,0.19,0.19,0.19,0.12,0.12,0.12,0.12,0.12,0.12
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143,24.3,15.1,15.1,15.1,13.9,13.9,16.3,16.3,16.3,16.3,16.3,16.3,,,,,0.30,0.15,0.15,0.15,0.13,0.13,0.17,0.17,0.17,0.17,0.17,0.17
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,37.6,37.6,37.6,37.6,37.9,37.9,37.9,37.9,37.9,37.9,37.9,37.9,,,,,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,20.3,20.3,20.3,20.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,,,,,0.23,0.23,0.23,0.23,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,34.5,35.8,35.8,35.8,35.8,27,27,27,27,28.8,28.8,28.8,,,,,0.46,0.48,0.48,0.48,0.48,0.34,0.34,0.34,0.34,0.37,0.37,0.37
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,24.5,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,,,,,0.30,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149,5.8,5.8,5.8,5.8,5.8,5.8,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.28,0.28,0.27,0.27
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,18.3,18.3,24.06,24.3,23.64,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.20,0.20,0.29,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,24.3,23.1,23.1,23.1,35.9,35.9,35.9,35.9,35,35,35,35,,,,,0.30,0.28,0.28,0.28,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,36,36,36,36,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,,,,,0.48,0.48,0.48,0.48,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,27.4,27.4,30.7,30.7,31,31,31,31,31,31,31,31,,,,,0.35,0.35,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,42.6,42.6,42.6,42.6,48.6,48.6,48.6,48.6,44.8,44.8,44.8,44.8,,,,,0.59,0.59,0.59,0.59,0.68,0.68,0.68,0.68,0.62,0.62,0.62,0.62
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,24.3,24.04,56,56,56,56,56,56,56,56,56,56,,,,,0.30,0.29,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,156,24.3,24.04,24.06,24.3,23.64,23.28,28.9,28.9,28.9,28.9,28.9,28.9,,,,,0.30,0.29,0.29,0.30,0.29,0.28,0.37,0.37,0.37,0.37,0.37,0.37
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158,23.8,24.6,24.6,24.6,24.6,24.6,24.6,23.36,23.15,23.12,17.3,17.3,,,,,0.29,0.30,0.30,0.30,0.30,0.30,0.30,0.28,0.28,0.28,0.18,0.18
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,34.4,34.4,27.4,27.4,27.4,27.4,27,27,27,27,27,27,,,,,0.46,0.46,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,20.9,20.9,22.7,22.7,22.7,22.7,22.4,22.4,22.4,22.4,22.4,22.4,,,,,0.24,0.24,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161,11.1,11.1,11.1,11.6,11.6,11.6,11.6,17.2,17.2,17.2,17.2,17.2,,,,,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.18,0.18,0.18,0.18,0.18
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,23.5,23.5,23.5,23.5,25.1,25.1,25.1,26.9,26.9,26.9,26.9,26.9,,,,,0.28,0.28,0.28,0.28,0.31,0.31,0.31,0.34,0.34,0.34,0.34,0.34
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,47.9,47.9,48.4,48.4,48.4,48.4,50.4,50.4,50.4,50.4,50.4,50.4,,,,,0.67,0.67,0.68,0.68,0.68,0.68,0.71,0.71,0.71,0.71,0.71,0.71
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163,34.5,25.2,25.2,28.4,28.4,28.5,28.5,28.2,28.1,28.1,28.1,28.1,,,,,0.46,0.31,0.31,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,30.2,30.2,30.2,35.2,35.2,36.4,36.4,36.4,36.4,36.4,27.2,27.2,,,,,0.39,0.39,0.39,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.34,0.34
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,23.6,29.4,29.4,29.4,30.3,30.3,30.3,32,32,32,32,32,,,,,0.28,0.38,0.38,0.38,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,24.3,24.04,23.3,23.3,23.3,23.3,23.3,24.9,24.9,24.9,24.9,24.9,,,,,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.31,0.31,0.31,0.31,0.31
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,47,47,47,47,41.1,41.1,41.1,41.1,29.6,29.6,29.6,29.6,,,,,0.66,0.66,0.66,0.66,0.56,0.56,0.56,0.56,0.38,0.38,0.38,0.38
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169,23.1,23.1,27.7,27.7,32.5,32.5,32.4,32.4,32.4,32.4,31.3,31.3,,,,,0.28,0.28,0.35,0.35,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.41
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,23.4,23.4,23.4,23.4,,,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.28,0.28,0.28,0.28
DJI,Djibouti,Africa,Northern Hemisphere,Low,AS,171,21.7,21.7,30,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,,,,,0.25,0.25,0.39,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,21.2,21.2,21.2,21.2,33,33,33,33,33,33,33,33,,,,,0.25,0.25,0.25,0.25,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,36.1,36.1,36.1,20.4,20.4,20.4,20.4,20.4,27.6,27.6,27.6,27.6,,,,,0.48,0.48,0.48,0.23,0.23,0.23,0.23,0.23,0.35,0.35,0.35,0.35
GMB,Gambia,Africa,Northern Hemisphere,Low,SSA,174,26.9,26.9,26.9,27.1,27.1,27.1,27.1,27.1,17.5,17.5,17.5,17.5,,,,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.19,0.19,0.19,0.19
ETH,Ethiopia,Africa,Northern Hemisphere,Low,SSA,175,9.1,9.5,9.5,9.5,9.5,9.5,13.4,13.4,13.4,12.1,12.1,12.1,,,,,0.05,0.06,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.10,0.10,0.10
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,32.5,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9,37.9,37.9,37.9,,,,,0.43,0.43,0.43,0.43,0.43,0.43,0.51,0.51,0.51,0.51,0.51,0.51
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,19,19,19,22.7,22.7,22.7,22.7,22.7,22.7,22.7,19.7,19.7,,,,,0.21,0.21,0.21,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.22,0.22
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,31.2,31.2,31.2,31.2,28.2,28.2,28.2,27.6,27.6,27.6,27.6,27.6,,,,,0.41,0.41,0.41,0.41,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,10.8,10.8,10.8,24.3,23.64,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.08,0.08,0.08,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,17.7,17.7,17.7,19.2,19.2,19.2,19.2,17.7,17.7,19.9,19.9,19.9,,,,,0.19,0.19,0.19,0.21,0.21,0.21,0.21,0.19,0.19,0.23,0.23,0.23
GIN,Guinea,Africa,Northern Hemisphere,Low,SSA,182,24.3,24.04,17.1,17.1,17.1,17.1,17.1,17.1,17.8,17.8,17.8,17.8,,,,,0.30,0.29,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183,20.6,20.6,20.6,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,,,,,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,24.2,24.2,24.2,24.2,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,,,,,0.29,0.29,0.29,0.29,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185,37,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,,,,,0.50,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186,24.3,24.04,24.06,16.1,16.1,15.4,15.4,15.4,16.6,16.6,16.6,16.6,,,,,0.30,0.29,0.29,0.16,0.16,0.15,0.15,0.15,0.17,0.17,0.17,0.17
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,13.2,13.2,14.1,14.1,14.1,14.1,14.1,20.9,20.9,20.9,20.9,20.9,,,,,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.24,0.24,0.24,0.24,0.24
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,,,,,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189,21.1,14,14,14,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,,,,,0.24,0.13,0.13,0.13,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,30.7,30.7,30.7,30.7,30.7,28.4,28.4,28.4,28.4,26.5,26.5,26.5,,,,,0.40,0.40,0.40,0.40,0.40,0.36,0.36,0.36,0.36,0.33,0.33,0.33
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,,,,,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
SOM,Somalia,Africa,Northern Hemisphere,Low,AS,,24.3,24.04,24.06,24.3,23.64,23.28,24.4,24.4,24.4,24.4,24.4,24.4,,,,,0.30,0.29,0.29,0.30,0.29,0.28,0.30,0.30,0.30,0.30,0.30,0.30
