ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
MLT,Malta,Europe,Northern Hemisphere,Very High,N/A,23,13.6,14.1,13.3,13.6,12.9,12.9,12.9,12.5,12.6,12.6,13.9,13.9,,,,,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.13
SVN,Slovenia,Europe,Northern Hemisphere,Very High,N/A,23,9.9,10.6,11,11.3,11.8,11.2,11,9.1,8.6,8.6,8.3,8.3,,,,,0.07,0.08,0.08,0.09,0.10,0.09,0.08,0.05,0.04,0.04,0.04,0.04
AUT,Austria,Europe,Northern Hemisphere,Very High,N/A,25,12.7,13.8,15.5,15.5,14.2,13.6,14.8,15.9,13.4,13.4,14.9,14.9,,,,,0.11,0.13,0.16,0.16,0.13,0.12,0.14,0.16,0.12,0.12,0.15,0.15
ESP,Spain,Europe,Northern Hemisphere,Very High,N/A,27,19.7,22.1,23.9,21.3,22.8,22.5,22.1,21.9,19.1,19.1,19.3,19.3,,,,,0.22,0.26,0.29,0.25,0.27,0.27,0.26,0.26,0.21,0.21,0.22,0.22
FRA,France,Europe,Northern Hemisphere,Very High,N/A,28,13.3,14.2,13.9,13.5,13.7,13.7,13.6,14.4,13.4,13.4,13.9,13.9,,,,,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.14,0.12,0.12,0.13,0.13
CYP,Cyprus,Asia,Northern Hemisphere,Very High,N/A,29,13.6,14.9,15,15.9,17.5,17.5,16.4,14.3,13.1,13.1,13,13,,,,,0.12,0.15,0.15,0.16,0.19,0.19,0.17,0.14,0.12,0.12,0.12,0.12
ITA,Italy,Europe,Northern Hemisphere,Very High,N/A,30,18.1,19.8,19.8,20.6,21.3,21.3,21.3,21.3,21.2,20.9,20.9,20.9,,,,,0.20,0.22,0.22,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24
EST,Estonia,Europe,Northern Hemisphere,Very High,N/A,31,17.7,17.4,18.6,18.6,21,21,18.7,15.5,14.3,14.3,15,15,,,,,0.19,0.19,0.20,0.20,0.24,0.24,0.21,0.16,0.14,0.14,0.15,0.15
CZE,Czechia,Europe,Northern Hemisphere,Very High,N/A,32,10.7,11.3,11,11.1,10.7,10.7,10.4,9.2,8.7,8.7,8.8,8.8,,,,,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.05,0.05,0.05,0.05,0.05
GRC,Greece,Europe,Northern Hemisphere,Very High,N/A,33,18.1,18.1,20.6,21.1,20.7,20.8,21,19.5,17.4,17.4,16.6,16.6,,,,,0.20,0.20,0.24,0.24,0.24,0.24,0.24,0.22,0.19,0.19,0.17,0.17
POL,Poland,Europe,Northern Hemisphere,Very High,N/A,34,17.1,17.9,17.5,17.3,17.4,17.4,16.9,14.4,13.1,13.1,12.1,12.1,,,,,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.14,0.12,0.12,0.10,0.10
LTU,Lithuania,Europe,Northern Hemisphere,Very High,N/A,35,20.1,18.6,17.5,19.6,19.7,19.7,23.7,21.8,20.1,20.1,17.1,17.1,,,,,0.23,0.20,0.19,0.22,0.22,0.22,0.29,0.26,0.23,0.23,0.18,0.18
PRT,Portugal,Europe,Northern Hemisphere,Very High,N/A,38,20.8,19.9,20.3,20.4,20.6,20.3,20.2,18.1,16.5,16.5,15.5,15.5,,,,,0.24,0.23,0.23,0.23,0.24,0.23,0.23,0.20,0.17,0.17,0.16,0.16
LVA,Latvia,Europe,Northern Hemisphere,Very High,N/A,39,20.9,19.8,20.5,20.2,20.4,20.3,20.3,18.5,19.3,19.3,17.5,17.5,,,,,0.24,0.22,0.24,0.23,0.23,0.23,0.23,0.20,0.22,0.22,0.19,0.19
HRV,Croatia,Europe,Northern Hemisphere,Very High,N/A,40,24.3,17.6,17.2,17.6,17.4,17.4,16.9,15.2,14.4,14.4,13,13,,,,,0.30,0.19,0.18,0.19,0.19,0.19,0.18,0.15,0.14,0.14,0.12,0.12
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,31.4,30.2,30.2,29.8,29.8,28.2,28.2,28.3,28.3,28.3,28.3,28.3,,,,,0.41,0.39,0.39,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.36
SVK,Slovakia,Europe,Northern Hemisphere,Very High,N/A,45,11.3,11.5,11.3,11.2,13.2,13.2,12.3,11.3,11.3,11.3,9.1,9.1,,,,,0.09,0.09,0.09,0.09,0.12,0.12,0.10,0.09,0.09,0.09,0.05,0.05
HUN,Hungary,Europe,Northern Hemisphere,Very High,N/A,46,12.2,13.1,12.6,14.5,14.6,15.3,14.7,16.1,13.9,13.9,12.3,12.3,,,,,0.10,0.12,0.11,0.14,0.14,0.15,0.14,0.16,0.13,0.13,0.10,0.10
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,28.9,27.7,26.5,25.9,26.4,25.5,27,26,26.4,28.1,28.1,28.1,,,,,0.37,0.35,0.33,0.32,0.33,0.32,0.34,0.32,0.33,0.36,0.36,0.36
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,21.9,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,,,,,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49,12.6,24.04,24.06,13.6,13.6,13.6,13.6,13.6,16.9,16.9,16.9,16.9,,,,,0.11,0.29,0.29,0.12,0.12,0.12,0.12,0.12,0.18,0.18,0.18,0.18
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,N/A,52,19.2,20.8,20.8,19.4,19.1,18.7,18.7,17.9,17.6,17.6,17.6,17.6,,,,,0.21,0.24,0.24,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.19
ROU,Romania,Europe,Northern Hemisphere,Very High,N/A,53,22.2,17.3,17.1,16.2,18.7,18.7,19,20.7,22.5,22.5,20.9,20.9,,,,,0.26,0.18,0.18,0.17,0.21,0.21,0.21,0.24,0.27,0.27,0.24,0.24
